location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Virar East, Mumbai, Maharashtra",['Apartments'],['395'],,['2'],['Unfurnished'],['Ready to Move'],['2'],,"₹ 19,00,000"
"Sector 127, Mohali, Punjab",['Apartments'],['950'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 39,90,000"
"North Nada, Guruvayur, Kerala",['Houses & Villas'],['1206'],['3'],['3'],['Unfurnished'],['New Launch'],,['North'],"₹ 45,99,999"
"Sirsi road, Jaipur, Rajasthan",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['West'],"₹ 30,00,000"
"Thavalakuzhy, Ettumanoor, Kerala",['Houses & Villas'],['2000'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 65,00,000"
"Adambakkam, Chennai, Tamil Nadu",['Houses & Villas'],['860'],['2'],['2'],['Unfurnished'],['Ready to Move'],['0'],['West'],"₹ 86,00,000"
"OMR, Chennai, Tamil Nadu",['Houses & Villas'],['1500'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['0'],['West'],"₹ 85,00,000"
"Madipakkam, Chennai, Tamil Nadu",['Houses & Villas'],['1200'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],['0'],['South'],"₹ 88,00,000"
"Adambakkam, Chennai, Tamil Nadu",['Houses & Villas'],['1750'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],['0'],['North-West'],"₹ 2,85,00,000"
"Adambakkam, Chennai, Tamil Nadu",['Houses & Villas'],['1200'],['4+'],['4+'],['Semi-Furnished'],['Ready to Move'],['0'],['East'],"₹ 95,00,000"
"Adambakkam, Chennai, Tamil Nadu",['Apartments'],['893'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 55,00,000"
"Vasant Vihar, Bilaspur, Chhattisgarh",['Houses & Villas'],['1000'],['2'],['2'],['Semi-Furnished'],['New Launch'],['1'],['East'],"₹ 21,99,000"
"Pokkunnu, Kozhikode, Kerala",['Apartments'],['1147'],['2'],['2'],['Unfurnished'],['Ready to Move'],,,"₹ 77,00,000"
"Sipcot Industrial Park Irunkattukottia, Chennai, Tamil Nadu",['Houses & Villas'],['700'],['1'],['1'],['Semi-Furnished'],['Under Construction'],,['North-East'],"₹ 27,50,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['2400'],['4+'],['4+'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 99,00,000"
"Assissi Nagar, Aluva, Kerala",['Houses & Villas'],['1550'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 55,00,000"
"Matigara, Siliguri, West Bengal",['Apartments'],['1035'],['2'],['2'],['Furnished'],['Ready to Move'],['1'],['North'],"₹ 60,00,000"
"Muringoor, Koratty, Kerala",['Houses & Villas'],['1450'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 55,00,000"
"Vartak Nagar, Thane, Maharashtra",['Apartments'],['680'],['1'],['2'],['Unfurnished'],['Ready to Move'],['18'],['East'],"₹ 73,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 62,00,000"
"Muringoor, Koratty, Kerala",['Houses & Villas'],['1700'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],,,"₹ 49,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1900'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 55,00,000"
"SEVOKE ROAD, Siliguri, West Bengal",['Apartments'],['1686'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 84,00,000"
"Jyoti Nagar, Siliguri, West Bengal",['Apartments'],['1384'],['3'],['2'],['Unfurnished'],['Ready to Move'],['3'],,"₹ 54,00,000"
"Manipal, Udupi, Karnataka",['Apartments'],['1785'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 62,00,000"
"Booty, Ranchi, Jharkhand",['Builder Floors'],['1350'],['2'],['2'],['Semi-Furnished'],['Under Construction'],['4'],['East'],"₹ 46,00,000"
