location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Sector 6, Gurgaon, Haryana",['Builder Floors'],['1350'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 55,00,000"
"Palanpur Jakatnaka, Surat, Gujarat",['Apartments'],['625'],['1'],['1'],['Unfurnished'],['Ready to Move'],,,"₹ 17,00,000"
"Adajan, Surat, Gujarat",['Apartments'],['1950'],['3'],['3'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 68,00,000"
"Narthan Dandi Road, Surat, Gujarat",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 53,11,000"
"Jahangir Pura, Surat, Gujarat",['Apartments'],['1110'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 29,00,000"
"Palanpur, Surat, Gujarat",['Apartments'],['1130'],['2'],['2'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 34,00,000"
"Gauravpath Road, Surat, Gujarat",['Apartments'],['1209'],['2'],['2'],['Unfurnished'],['Under Construction'],,['East'],"₹ 47,75,000"
"Fathimapuram, Changanacheri, Kerala",['Houses & Villas'],['1250'],['3'],['3'],['Semi-Furnished'],['New Launch'],['1'],['West'],"₹ 54,50,000"
"Shiupur, Varanasi, Uttar Pradesh",['Apartments'],['300'],['1'],['1'],['Unfurnished'],['New Launch'],['0'],['East'],"₹ 12,00,000"
"Urapakkam, Chennai, Tamil Nadu",['Apartments'],['543'],['1'],['1'],['Unfurnished'],['Ready to Move'],['1'],['North'],"₹ 19,99,997"
"Gauravpath Road, Surat, Gujarat",['Apartments'],['1233'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 41,00,000"
"Palanpur, Surat, Gujarat",['Apartments'],['712'],['1'],['1'],['Unfurnished'],['Ready to Move'],,['East'],"₹ 24,00,000"
"Gauravpath Road, Surat, Gujarat",['Apartments'],['771'],['1'],['1'],['Unfurnished'],['Under Construction'],,['East'],"₹ 27,11,000"
"Anand Mahal Road Area, Surat, Gujarat",['Apartments'],['1750'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['East'],"₹ 50,00,000"
"Kalkidhar Avenue, Jalandhar, Punjab",['Houses & Villas'],['2500'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['2'],,"₹ 56,00,000"
"Urban Estate, Jalandhar, Punjab",['Apartments'],['1400'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 45,00,000"
"Kalkidhar Avenue, Jalandhar, Punjab",['Apartments'],['2360'],['3'],['3'],['Semi-Furnished'],['New Launch'],,,"₹ 65,00,000"
"Kalkidhar Avenue, Jalandhar, Punjab",['Houses & Villas'],['3000'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 62,00,000"
"Edappally, Kochi, Kerala",['Houses & Villas'],['1700'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 48,00,000"
"Enikepadu, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1400'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['East'],"₹ 45,00,000"
"Vijayawada Bus Stand Area, Vijayawada, Andhra Pradesh",['Houses & Villas'],['1000'],['2'],['2'],['Furnished'],['New Launch'],['1'],['North-East'],"₹ 35,00,000"
"Bhayli-Sunpharma Link Road, Vadodara, Gujarat",['Houses & Villas'],['1537'],['3'],['3'],['Unfurnished'],['Ready to Move'],,['North-East'],"₹ 1,15,00,000"
"Vaishali Nagar, Jaipur, Rajasthan",['Apartments'],['991'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 30,00,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1650'],['4'],['4'],['Semi-Furnished'],['New Launch'],,['East'],"₹ 67,00,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['2000'],['4'],['4'],['Semi-Furnished'],['New Launch'],,,"₹ 62,00,000"
"Renigunta, Tirupati, Andhra Pradesh",['Houses & Villas'],['24'],['3'],['3'],['Furnished'],['New Launch'],['2'],['East'],"₹ 58,00,000"
"JP Nagar, Mysuru, Karnataka",['Houses & Villas'],['1200'],['2'],['2'],['Furnished'],['Ready to Move'],,['North-West'],"₹ 70,00,000"
"Chattarpur, Delhi, Delhi",['Builder Floors'],['1230'],['3'],['2'],['Semi-Furnished'],['Under Construction'],['1'],['North'],"₹ 64,00,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['2300'],['4'],['4'],['Semi-Furnished'],['New Launch'],,['East'],"₹ 80,00,000"
"Uttam Nagar, Delhi, Delhi",['Builder Floors'],['513'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['North'],"₹ 23,21,000"
