location,house_type,sqft,bedrooms,furnishing,constr_info,floor_no,facing,price
 Gujarat,Apartments,1750.0,3.0,Semi-Furnished,Ready to Move,,East,5000000.0
 Punjab,Houses & Villas,2500.0,4.0,Semi-Furnished,Ready to Move,2.0,,5600000.0
 Punjab,Apartments,1400.0,3.0,Semi-Furnished,Ready to Move,,,4500000.0
 Punjab,Apartments,2360.0,3.0,Semi-Furnished,New Launch,,,6500000.0
 Punjab,Houses & Villas,3000.0,4.0,Semi-Furnished,Ready to Move,,,6200000.0
 Kerala,Houses & Villas,1700.0,3.0,Semi-Furnished,Ready to Move,,,4800000.0
 Andhra Pradesh,Houses & Villas,1400.0,2.0,Unfurnished,Under Construction,1.0,East,4500000.0
 Andhra Pradesh,Houses & Villas,1000.0,2.0,Furnished,New Launch,1.0,North-East,3500000.0
 Gujarat,Houses & Villas,1537.0,3.0,Unfurnished,Ready to Move,,North-East,11500000.0
 Rajasthan,Apartments,991.0,2.0,Semi-Furnished,Ready to Move,1.0,North,3000000.0
 Kerala,Houses & Villas,1650.0,4.0,Semi-Furnished,New Launch,,East,6700000.0
 Kerala,Houses & Villas,2000.0,4.0,Semi-Furnished,New Launch,,,6200000.0
 Andhra Pradesh,Houses & Villas,24.0,3.0,Furnished,New Launch,2.0,East,5800000.0
 Karnataka,Houses & Villas,1200.0,2.0,Furnished,Ready to Move,,North-West,7000000.0
 Delhi,Builder Floors,1230.0,3.0,Semi-Furnished,Under Construction,1.0,North,6400000.0
 Kerala,Houses & Villas,2300.0,4.0,Semi-Furnished,New Launch,,East,8000000.0
 Delhi,Builder Floors,513.0,2.0,Semi-Furnished,Ready to Move,2.0,North,2321000.0
 Delhi,Builder Floors,423.0,1.0,Semi-Furnished,Ready to Move,2.0,North,1695000.0
 Delhi,Builder Floors,725.0,,Semi-Furnished,Ready to Move,3.0,West,3521000.0
 Gujarat,Apartments,1066.0,2.0,Unfurnished,Under Construction,,,1849996.0
 Delhi,Builder Floors,720.0,3.0,Furnished,Ready to Move,2.0,North,3550000.0
 Delhi,Builder Floors,520.0,2.0,Semi-Furnished,Ready to Move,1.0,South,2225000.0
 Maharashtra,Apartments,650.0,2.0,Semi-Furnished,Ready to Move,7.0,,2000000.0
 Rajasthan,Houses & Villas,1210.0,3.0,Semi-Furnished,Ready to Move,1.0,West,2210000.0
 Kerala,Houses & Villas,1999.0,3.0,Furnished,Ready to Move,,,6800000.0
 Tamil Nadu,Houses & Villas,1800.0,2.0,Unfurnished,Ready to Move,,South,5600000.0
 Kerala,Houses & Villas,3150.0,4.0,Furnished,New Launch,,North-West,11000000.0
 Kerala,Houses & Villas,3000.0,4.0,Furnished,Ready to Move,,,11000000.0
 Haryana,Houses & Villas,1000.0,4.0,Furnished,Ready to Move,1.0,North,4300000.0
 Kerala,Houses & Villas,2200.0,4.0,Furnished,Ready to Move,,,5500000.0
 Kerala,Houses & Villas,2350.0,4.0,Semi-Furnished,Ready to Move,,,13000000.0
 Uttar Pradesh,Builder Floors,900.0,2.0,Semi-Furnished,Ready to Move,1.0,East,1450000.0
 Delhi,Builder Floors,460.0,2.0,Semi-Furnished,Ready to Move,1.0,East,2150000.0
 Kerala,Houses & Villas,1200.0,3.0,Furnished,Ready to Move,,East,3100000.0
 Maharashtra,Apartments,650.0,1.0,Semi-Furnished,Ready to Move,2.0,East,3600000.0
 Maharashtra,Apartments,1800.0,3.0,Furnished,Ready to Move,6.0,West,12000000.0
 Kerala,Farm Houses,1000.0,3.0,Semi-Furnished,Ready to Move,1.0,North-East,50000.0
 Odisha,Houses & Villas,2000.0,4.0,Unfurnished,Under Construction,2.0,East,7000000.0
 Kerala,Houses & Villas,2100.0,4.0,Furnished,Ready to Move,,East,8500000.0
 Maharashtra,Apartments,650.0,1.0,Unfurnished,Ready to Move,16.0,South-East,4200000.0
 Uttar Pradesh,Houses & Villas,1800.0,4.0,Semi-Furnished,Ready to Move,0.0,North,6000000.0
 Kerala,Houses & Villas,1602.0,3.0,Semi-Furnished,Ready to Move,,North,4999999.0
 Kerala,Houses & Villas,2000.0,4.0,Semi-Furnished,Ready to Move,,,6000000.0
 Maharashtra,Apartments,650.0,1.0,Semi-Furnished,Ready to Move,0.0,East,3300000.0
 Kerala,Houses & Villas,2400.0,4.0,Furnished,Ready to Move,,,14000000.0
 Kerala,Houses & Villas,2200.0,4.0,Semi-Furnished,Ready to Move,,,7000000.0
 West Bengal,Apartments,1070.0,3.0,Furnished,Ready to Move,2.0,North-West,3200000.0
 Maharashtra,Builder Floors,856.0,2.0,Unfurnished,New Launch,3.0,North-West,4120000.0
 Uttar Pradesh,Builder Floors,433.0,1.0,Semi-Furnished,Ready to Move,1.0,East,998000.0
 Delhi,Builder Floors,750.0,2.0,Semi-Furnished,Ready to Move,2.0,East,2300000.0
 Kerala,Apartments,591.0,1.0,Unfurnished,Under Construction,3.0,East,2850000.0
 Kerala,Houses & Villas,900.0,2.0,Furnished,Ready to Move,,,4200000.0
 Haryana,Builder Floors,700.0,2.0,Furnished,Ready to Move,1.0,East,2000000.0
 Delhi,Builder Floors,1000.0,3.0,Semi-Furnished,Ready to Move,1.0,North,5500000.0
 Kerala,Houses & Villas,2400.0,4.0,Furnished,Ready to Move,,,8500000.0
 Kerala,Houses & Villas,1400.0,3.0,Furnished,Ready to Move,1.0,East,4600000.0
 Telangana,Apartments,600.0,1.0,Furnished,Ready to Move,3.0,East,2050000.0
 Kerala,Houses & Villas,925.0,2.0,Semi-Furnished,Ready to Move,,,3100000.0
 Delhi,Builder Floors,1000.0,3.0,Semi-Furnished,Ready to Move,4.0,West,5000000.0
 Kerala,Houses & Villas,1400.0,3.0,Furnished,Ready to Move,1.0,East,5500000.0
 Kerala,Houses & Villas,1100.0,3.0,Furnished,Ready to Move,,East,4000000.0
 Andhra Pradesh,Apartments,550.0,1.0,Semi-Furnished,Ready to Move,2.0,West,1610000.0
 Haryana,Builder Floors,950.0,3.0,Furnished,Ready to Move,1.0,North,3200000.0
 Kerala,Houses & Villas,1000.0,3.0,Furnished,Ready to Move,,East,3700000.0
 Kerala,Houses & Villas,2600.0,4.0,Furnished,Ready to Move,3.0,East,9500000.0
 Tamil Nadu,Houses & Villas,5700.0,4.0,Unfurnished,Ready to Move,2.0,West,240000000.0
 Maharashtra,Apartments,1400.0,2.0,Furnished,Ready to Move,12.0,West,31900000.0
 Delhi,Apartments,1045.0,2.0,Unfurnished,Under Construction,5.0,East,3814000.0
 Maharashtra,Apartments,455.0,,Unfurnished,Ready to Move,1.0,,2050000.0
 Kerala,Houses & Villas,1500.0,4.0,Furnished,Ready to Move,2.0,East,3500000.0
 Tamil Nadu,Houses & Villas,1600.0,3.0,Unfurnished,Under Construction,12.0,North-East,5500000.0
 Kerala,Houses & Villas,2000.0,4.0,Unfurnished,Under Construction,2.0,,6200000.0
 Maharashtra,Apartments,640.0,1.0,Unfurnished,Ready to Move,2.0,East,4000000.0
 Kerala,Houses & Villas,1950.0,4.0,Furnished,Ready to Move,1.0,East,6500000.0
 Telangana,Houses & Villas,775.0,2.0,Unfurnished,Ready to Move,0.0,West,5200000.0
 Bihar,Houses & Villas,1110.0,2.0,Furnished,Ready to Move,2.0,West,6000000.0
 Tamil Nadu,Apartments,800.0,2.0,Semi-Furnished,Ready to Move,2.0,South,8500000.0
 Karnataka,Apartments,1110.0,,,,,East,5500000.0
 Uttaranchal,Houses & Villas,701.0,2.0,Semi-Furnished,Ready to Move,,North,1850000.0
 Kerala,Houses & Villas,1600.0,3.0,Semi-Furnished,Ready to Move,,,6600000.0
 Karnataka,Houses & Villas,1200.0,,,,,,18000000.0
 Karnataka,Houses & Villas,1350.0,,,,,,15000000.0
 Haryana,Houses & Villas,1700.0,4.0,Furnished,Ready to Move,1.0,East,5500000.0
 Uttar Pradesh,Houses & Villas,35.0,2.0,Semi-Furnished,Ready to Move,1.0,North-East,1500000.0
 Telangana,Apartments,1550.0,3.0,Semi-Furnished,Ready to Move,4.0,North,7500000.0
 Rajasthan,Houses & Villas,1250.0,3.0,Furnished,Under Construction,1.0,East,4600000.0
 Maharashtra,Apartments,990.0,2.0,Semi-Furnished,Ready to Move,3.0,North-East,7700000.0
 Kerala,Houses & Villas,800.0,2.0,Furnished,Ready to Move,,East,3200000.0
 Punjab,Houses & Villas,3000.0,4.0,Furnished,Ready to Move,,,11000000.0
 Haryana,Builder Floors,990.0,3.0,Furnished,Ready to Move,2.0,North,3200000.0
 Kerala,Houses & Villas,1600.0,3.0,Furnished,Ready to Move,1.0,East,6000000.0
 West Bengal,Apartments,800.0,2.0,Unfurnished,Ready to Move,3.0,South,1700000.0
 Kerala,Houses & Villas,2100.0,4.0,Semi-Furnished,Under Construction,,,9000000.0
 West Bengal,Houses & Villas,891.0,1.0,Unfurnished,Ready to Move,,North,1000000.0
 Kerala,Houses & Villas,1600.0,3.0,Semi-Furnished,Ready to Move,,,4500000.0
 Odisha,Houses & Villas,1300.0,3.0,Unfurnished,Under Construction,2.0,North-West,3500000.0
 Haryana,Houses & Villas,1400.0,4.0,Furnished,Ready to Move,1.0,North-West,5100000.0
 Kerala,Houses & Villas,2700.0,4.0,Semi-Furnished,Ready to Move,,,10500000.0
 Kerala,Houses & Villas,2100.0,4.0,Semi-Furnished,Ready to Move,,,8500000.0
 Chhattisgarh,Houses & Villas,800.0,2.0,Unfurnished,Ready to Move,1.0,East,2700000.0
 Kerala,Houses & Villas,2100.0,4.0,Semi-Furnished,Ready to Move,,,9000000.0
 Kerala,Houses & Villas,1600.0,4.0,Semi-Furnished,Ready to Move,,,4800000.0
 Andhra Pradesh,Houses & Villas,690.0,2.0,Furnished,Ready to Move,2.0,East,4500000.0
 Rajasthan,Houses & Villas,2000.0,4.0,Semi-Furnished,Ready to Move,2.0,East,5500000.0
 Delhi,Builder Floors,850.0,3.0,Semi-Furnished,Ready to Move,2.0,South-East,4200000.0
 Uttar Pradesh,Apartments,1421.0,3.0,Furnished,Ready to Move,6.0,East,5500000.0
 Kerala,Houses & Villas,4500.0,1.0,Unfurnished,Ready to Move,,West,2800000.0
 Maharashtra,Houses & Villas,2500.0,4.0,Semi-Furnished,Ready to Move,0.0,East,16000000.0
 Madhya Pradesh,Houses & Villas,1500.0,3.0,Semi-Furnished,Ready to Move,,North,6500000.0
 Tamil Nadu,Apartments,2783.0,3.0,Unfurnished,Ready to Move,1.0,South,18000000.0
 Chhattisgarh,Houses & Villas,600.0,2.0,Unfurnished,Ready to Move,1.0,South,2000000.0
 Kerala,Houses & Villas,1689.0,4.0,Furnished,Ready to Move,,,6500000.0
 Kerala,Houses & Villas,1800.0,4.0,Furnished,Ready to Move,,,6500000.0
